Obs.	statenum	casenum	accdate	acctime	speeding	alcres	drugres1	
568	35	134	07092015	0509	0	0	1	
569	5	63	02202015	2321	0	996	0	
570	16	53	05302015	0850	1	0	998	
571	34	115	01182015	0721	0	996	0	
572	13	664	07082015	1806	0	996	0	
573	47	738	11052015	1953	0	996	0	
574	1	42	01312015	1845	0	0	1	
575	8	493	12282015	1255	1	996	0	
576	21	59	01302015	1531	1	0	124	
577	40	570	12302015	1421	0	0	0	
578	55	311	08272015	1647	0	.	.	
579	4	551	08132015	1447	1	996	0	
580	6	10	01042015	0235	0	996	0	
581	6	749	03102015	0940	1	996	0	
582	40	310	06112015	1050	0	0	0	
583	6	75	01182015	2030	0	0	401	
584	12	1658	08312015	0823	0	0	1	
585	29	128	03142015	2025	0	0	1	
586	36	82	01032015	9999	0	0	1	
587	41	111	05032015	1525	0	996	0	
588	42	681	12132015	1855	0	996	0	
589	13	311	04012015	2105	0	996	0	
590	26	136	04052015	0748	0	0	1	
591	45	41	01222015	1905	1	70	605	
592	45	360	06132015	2310	0	196	1	
593	17	213	05092015	0455	0	0	1	
594	21	209	05182015	2121	0	0	1	
595	26	743	11042015	1955	0	997	0	
596	17	889	12092015	1439	0	996	0	
597	25	292	01212015	2008	0	999	999	
598	40	39	01222015	2355	0	33	300	
599	51	578	11152015	0207	0	996	0	
600	6	2479	12192015	1010	0	20	1	
601	27	230	08272015	1604	0	996	0	
602	27	307	10232015	1652	0	996	0	
603	42	168	01282015	2038	0	0	1	
604	48	2831	11272015	0528	1	.	.	
605	12	978	05302015	0446	0	0	996	
606	4	530	08222015	2059	1	345	1	
607	8	228	06062015	1454	0	0	1	
608	21	640	12132015	0218	0	0	0	
609	39	852	10222015	1613	0	0	996	
610	53	90	03302015	1616	0	996	0	
611	12	772	02242015	1245	0	996	0	
612	19	115	07032015	1641	0	0	695	
613	41	296	11112015	1040	0	0	0	
614	41	321	08152015	2040	0	38	0	
615	6	1363	05142015	1700	0	0	605	
616	35	58	03302015	1734	0	996	0	
617	40	132	04172015	1433	1	996	0	
618	17	336	06012015	1616	0	0	1	
619	48	439	03042015	0852	1	0	1	
620	53	378	09232015	1924	1	996	0	
621	25	114	07122015	2050	0	0	1	
622	8	348	09052015	1405	0	996	0	
623	28	136	04102015	1239	0	996	0	
624	48	2355	09262015	1825	0	996	0	
625	29	641	10202015	2230	0	301	1	
